season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2015,Liverpool,Crystal Palace,A,1,2,1,1
2015,Tottenham,West Ham,H,4,1,2,0
2015,Tottenham,Newcastle United,A,1,2,1,0
2015,Crystal Palace,Chelsea,A,0,3,0,1
2015,Stoke,Norwich,H,3,1,0,0
2015,Southampton,Arsenal,H,4,0,1,0
2015,Crystal Palace,Watford,A,1,2,1,1
2015,West Bromwich Albion,Swansea,D,1,1,0,0
2015,Swansea,Leicester,A,0,3,0,2
2015,Manchester United,West Bromwich Albion,H,2,0,0,0
2015,Watford,Manchester United,A,1,2,0,1
2015,West Ham,Stoke,D,0,0,0,0
2015,Everton,Tottenham,D,1,1,1,1
2015,Tottenham,Leicester,A,0,1,0,0
2015,Stoke,Manchester United,H,2,0,2,0
2015,Everton,West Bromwich Albion,A,0,1,0,1
2015,Everton,Newcastle United,H,3,0,1,0
2015,Norwich,Swansea,H,1,0,0,0
2015,West Bromwich Albion,Arsenal,H,2,1,2,1
